,mp-169,mp-66,mp-2516584,mp-47,mp-48,mp-569304,mp-570002,mp-569416,mp-606949,mp-998866,mp-1181996,mp-990448,mp-632329,mp-1040425,mp-1097832,mp-1056957,mp-568363,mp-1008395,mp-1018088,mp-997182,mp-990424,mp-937760,mp-1008374,mp-2646980,mp-1080826,mp-24,mp-611426,mp-1078845,mp-568806,mp-1182029,mp-579909,mp-624889,mp-568410,mp-569517,mp-1095534,mp-1095633,mp-611448,mp-569567,mp-568286,mp-616440,mp-1190171,mp-2647017,mp-1205417,mp-1188817
energy,9.191888,9.081071,9.20022,9.033616,9.200522,9.198348,8.410289,9.194049,9.195713,6.0656004,6.52259,9.195313,9.198847,9.196229,6.405406,6.5219965,9.200703,8.91366,8.316795,9.195247,9.198211,9.194115,8.77808,8.571321,8.872071,8.402112,9.061564,8.95083,9.196587,8.053822,8.367771,8.200919,8.713388,9.065685,8.10296,8.1508,9.068422,9.0702305,9.19023,9.071583,8.877017,9.061114,8.0414095,8.555603
magmom,0.011440784,0.016323954,0.022895396,0.025415719,0.02407524,0.021491736,0.08959952,0.0439654,0.065721154,0.00526613,0.012618303,0.010298133,0.01232937,0.011073798,0.0074155033,0.01238969,0.02345717,0.01086545,0.027395964,0.020557553,0.02144596,0.023142695,0.010327309,0.033940926,0.03281182,0.01428628,0.058352053,0.03610021,0.04618177,0.013211578,0.045659453,0.03325528,0.028957725,0.07463623,0.059012175,0.07459712,0.09089559,0.10724054,0.08854237,0.123532236,0.06605625,0.13293749,0.39305115,0.046322674
band_gap,1.680776834487915,5.190303802490234,0.41316425800323486,4.750577926635742,1.0824862718582153,0.5664478540420532,0.8744989037513733,0.5600478649139404,0.25554847717285156,2.10758113861084,2.7578163146972656,0.6119917631149292,1.1954269409179688,0.36141932010650635,0.9596842527389526,2.1832962036132812,0.6463901996612549,4.633367538452148,1.2390449047088623,0.6175843477249146,0.4502919912338257,1.2481818199157715,4.23912239074707,1.7971453666687012,3.9389915466308594,3.7931203842163086,4.9997758865356445,4.205349445343018,1.3495056629180908,1.2675608396530151,1.4107356071472168,2.6633782386779785,2.7655646800994873,5.042855739593506,2.360116481781006,1.9904619455337524,5.068908214569092,5.090876579284668,2.377286434173584,5.107202053070068,3.8615708351135254,0.05681455135345459,1.234894871711731,2.705308675765991
shear_modulus,116.29576963588488,529.4532279989925,87.58986585926365,529.0714401358977,87.88946579977373,97.52336582489751,233.48254746916095,106.6958917266134,103.74367947244048,147.4846119418695,193.53727492556877,85.47804991636664,97.70422503777753,87.22070402978578,120.6285823448235,212.36240114128924,88.16738703381473,444.5087514887868,116.7873826641444,85.42984739691832,97.70961576269472,101.39448812219231,258.3782797477824,221.1093535202954,446.53927901067,511.26555672298645,529.6081717743236,489.78856361565255,107.45028246298259,4.343044865329211,143.37868861592065,181.5514929216735,287.2465452963496,529.818130404759,78.79755586805936,71.62191266071666,529.8300557605278,529.8998681057016,108.06699497384402,529.886486693665,449.7202247698534,89.49335913329752,36.71598788927116,363.5387333443576
fmax,0.02045678264687856,1.1330001173857847e-05,0.004586380971634205,0.03918627606367471,5.376480880669932e-05,0.024966579363865846,0.12497138977137089,0.03638429345383153,0.037039203540744775,0.0,2.491044164594455e-07,0.005746725181508138,0.17792042952245563,7.960264780306286e-05,0.0,0.005643970007309513,0.02530101832320185,0.1618069751699222,1.1925690700387569e-05,4.491779494422335e-05,0.027923412236169703,0.016604831087573182,0.6199722299812974,0.31792724132538824,0.394106908048424,0.12381207961166374,0.027463562296105578,0.39558967053034255,0.01371883820772478,0.13387525612257328,0.26467260722576585,0.48436091362858974,0.4587451220609365,0.0461299357910195,0.878757107782443,0.42865027755169643,0.04445993869020249,0.043962598300684684,0.08236190666008555,0.03117962087691324,0.33558815030708306,0.1566674499771908,0.42826954301934117,0.3048140126002711
centroid_id,47,165,23,22,154,23,112,23,111,158,34,23,154,111,154,115,23,135,154,23,23,154,179,182,190,40,165,91,11,89,50,34,70,165,17,191,165,165,101,165,56,111,89,30
